ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths
8/28/2020,Saskatchewan,Canada,4/2/2021 15:13,1611,24
8/28/2020,Schleswig-Holstein,Germany,4/2/2021 15:13,4014,160
8/28/2020,Scotland,UK,4/2/2021 15:13,20107,2494
8/28/2020,Sergipe,Brazil,4/2/2021 15:13,72039,1837
8/28/2020,Sevastopol*,Ukraine,4/2/2021 15:13,488,18
8/28/2020,Shaanxi,Mainland China,4/2/2021 15:13,364,3
8/28/2020,Shandong,Mainland China,4/2/2021 15:13,831,7
8/28/2020,Shanghai,Mainland China,4/2/2021 15:13,894,7
8/28/2020,Shanxi,Mainland China,4/2/2021 15:13,202,0
8/28/2020,Shiga,Japan,4/2/2021 15:13,436,4
8/28/2020,Shimane,Japan,4/2/2021 15:13,137,0
8/28/2020,Shizuoka,Japan,4/2/2021 15:13,478,1
8/28/2020,Sichuan,Mainland China,4/2/2021 15:13,650,3
8/28/2020,Sicilia,Italy,4/2/2021 15:13,4228,286
8/28/2020,Sikkim,India,4/2/2021 15:13,1576,3
8/28/2020,Sinaloa,Mexico,4/2/2021 15:13,15848,2733
8/28/2020,Sindh,Pakistan,4/2/2021 15:13,129081,2394
8/28/2020,Sint Maarten,Netherlands,4/2/2021 15:13,444,17
8/28/2020,Skane,Sweden,4/2/2021 15:13,4685,285
8/28/2020,Smolensk Oblast,Russia,4/2/2021 15:13,6123,127
8/28/2020,Sonora,Mexico,4/2/2021 15:13,21202,2621
8/28/2020,Sormland,Sweden,4/2/2021 15:13,2422,253
8/28/2020,South Australia,Australia,4/2/2021 15:13,463,4
8/28/2020,South Carolina,US,4/2/2021 15:13,115951,2655
8/28/2020,South Dakota,US,4/2/2021 15:13,12517,165
8/28/2020,St Martin,France,4/2/2021 15:13,213,5
8/28/2020,Stavropol Krai,Russia,4/2/2021 15:13,11606,227
8/28/2020,Stockholm,Sweden,4/2/2021 15:13,22941,2393
8/28/2020,Sucre,Colombia,4/2/2021 15:13,11365,475
8/28/2020,Sumy Oblast,Ukraine,4/2/2021 15:13,1361,22
8/28/2020,Sverdlovsk Oblast,Russia,4/2/2021 15:13,24960,441
8/28/2020,Tabasco,Mexico,4/2/2021 15:13,27825,2549
8/28/2020,Tacna,Peru,4/2/2021 15:13,8061,128
8/28/2020,Tamaulipas,Mexico,4/2/2021 15:13,24094,1768
8/28/2020,Tambov Oblast,Russia,4/2/2021 15:13,6678,45
8/28/2020,Tamil Nadu,India,4/2/2021 15:13,409238,7050
8/28/2020,Tarapaca,Chile,4/2/2021 15:13,10539,199
8/28/2020,Tasmania,Australia,4/2/2021 15:13,230,13
8/28/2020,Tatarstan Republic,Russia,4/2/2021 15:13,6424,33
8/28/2020,Telangana,India,4/2/2021 15:13,120166,808
8/28/2020,Tennessee,US,4/2/2021 15:13,150815,1701
